id,name,album,artists,main_artist,genres,year,release_date,popularity,explicit,record_label,playlists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
2rWYfMbQgHYXPEzbhN65Ys,Pehla Nasha,Pehla Nasha - Sanam,Sanam,Sanam,"hindi pop,desi pop",2016,2016-02-16,53,0,Saregama India Ltd,Samui,0.543,0.639,6,-8.36,1,0.0376,0.493,0.000111,0.119,0.583,153.966,4,224210
0gWQyG8QoBmB3HmvGugBWH,Hai Apna Dil To Aawara,Hai Apna Dil To Aawara - Sanam,Sanam;S. D. Burman,Sanam,"hindi pop,desi pop,ghazal",2016,2016-03-31,56,0,Saregama India Ltd,Samui,0.745,0.605,9,-7.091,1,0.0299,0.0267,0.0,0.098,0.963,115.942,4,200689
1BEasFvXRajfpsQ9eyv7XE,Halke Gaadi Hako,Panchrang,Kabir Cafe,Kabir Cafe,"bhajan,sufi,indian indie,hindi indie,devotional",2016,2016-08-20,0,0,Kabir Café,Folklore,0.793,0.784,11,-4.113,1,0.0891,0.23,0.0,0.172,0.87,104.994,4,224793
7nPCAO0Q9AHbM7PWyj9O98,Kho Gaye Hum Kahan,Baar Baar Dekho (Original Motion Picture Soundtrack),Jasleen Royal;Prateek Kuhad,Jasleen Royal,"hindi pop,bollywood,desi,gujarati pop,hindi indie,indian indie",2016,2016-08-04,58,0,Zee Music Company,Indie_Beats,0.779,0.227,1,-16.191,1,0.0379,0.983,0.14,0.113,0.38,116.042,4,213055
3LIQGYH80poxzEefD7zt79,Tere Bina Zindagi Se - Sanam - Film - Aandhi,Tere Bina Zindagi Se-Sanam,Sanam;R. D. Burman,Sanam,"hindi pop,desi pop,ghazal,bollywood",2016,2016-01-18,47,0,Saregama India Ltd,Samui,0.668,0.431,1,-8.711,0,0.0241,0.807,1.02e-06,0.0999,0.228,97.028,4,272561
6UncNaMLLpsDeK22BEJNy3,Taan,Yuv,Ritviz,Ritviz,"indian indie,hindi indie,hindi pop",2016,2016-07-18,25,0,Ritviz,Indie_Beats,0.58,0.915,4,-3.001,0,0.0732,0.111,0.57,0.106,0.0959,106.96,4,170467
5DSFsWFoGi37SivNJAoTi4,Yariyaan,Yariyaan - Single,Hari & Sukhmani;Noori,Hari & Sukhmani,"indian indie,hindi indie,sufi,qawwali,ghazal,desi",2016,2016-03-10,26,0,Hari & Sukhmani with Noori,Folklore,0.373,0.403,2,-10.829,1,0.0312,0.183,6.33e-05,0.0757,0.206,116.41,4,311186
18mL2rtfvLGDb6SwlndwJr,Jind Mahi,Raja Baja,Nucleya;Avneet Khurmi,Nucleya,"indian indie,hindi hip hop,desi hip hop,hindi indie",2016,2016-09-03,27,0,Nucleya,Folklore,0.57,0.859,2,-8.232,1,0.0309,3.3e-05,0.705,0.455,0.188,146.003,4,302465
4mjjr1EeynuE236oOWeEMK,"Mitho Laage - The Dewarists, Season 5","Mitho Laage (The Dewarists, Season 5)",Dhruv Ghanekar;Mame Khan,Dhruv Ghanekar,"sufi,indian indie",2016,2016-12-01,46,0,"Dhruv Ghanekar, Mame Khan",Folklore,0.599,0.708,9,-5.567,1,0.0736,0.106,0.0,0.1,0.628,96.122,4,280000
7zCNzMtqsYAFX5GC2TLin2,Savera,Savera - Single,Anusha Mani,Anusha Mani,bollywood,2017,2017-10-06,17,0,Anusha Mani,Folklore,0.6,0.392,11,-11.27,1,0.0241,0.873,0.00013,0.0875,0.333,97.978,4,245510
