genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,count
phonk,0.6931298701298702,0.8223160173160173,5.437229437229437,-3.2136666666666667,0.5324675324675324,0.0845917748917749,0.16911457922077922,0.2639584604761905,0.19811861471861472,0.5161839826839827,121.81260173160173,3.9956709956709955,108626.30303030302,67.19047619047619,231
hindi indie,0.5929237668161436,0.4586654708520179,4.73542600896861,-9.626107623318385,0.7892376681614349,0.059123766816143494,0.5432434304932736,0.02000091443946188,0.16418878923766816,0.4341304932735426,118.66813452914798,3.798206278026906,217336.4798206278,44.2017937219731,223
indian indie,0.5913153153153152,0.456309009009009,4.747747747747748,-9.691427927927927,0.7927927927927928,0.05894774774774775,0.5441536711711712,0.024230864729729726,0.15831441441441443,0.43643288288288284,117.76918468468469,3.774774774774775,217041.48648648648,42.33783783783784,222
brazilian phonk,0.6892941176470587,0.8381519607843138,5.553921568627451,-2.801740196078431,0.4950980392156863,0.0817779411764706,0.17949980294117648,0.25000554970588235,0.20290245098039214,0.5211887254901961,122.15857352941177,3.9950980392156863,106426.61764705883,67.57352941176471,204
hindi pop,0.586118918918919,0.5293156756756757,5.210810810810811,-8.418648648648649,0.6594594594594595,0.05814540540540541,0.4972362216216217,0.018630389675675676,0.1580664864864865,0.46921513513513513,117.7997081081081,3.8216216216216217,234479.11351351353,51.74594594594595,185
desi pop,0.6183793103448276,0.5298189655172414,5.629310344827586,-8.292775862068966,0.6120689655172413,0.053043103448275855,0.47912800862068966,0.013987010344827584,0.1611706896551724,0.4726146551724138,117.1708448275862,3.8879310344827585,218547.64655172414,53.543103448275865,116
bollywood,0.5632181818181818,0.5599127272727273,5.254545454545455,-8.368636363636364,0.7363636363636363,0.058030000000000005,0.49317726363636366,0.017456515636363638,0.15586454545454545,0.47219636363636364,122.54797272727272,3.7545454545454544,262488.58181818185,45.77272727272727,110
funk,0.7106022727272727,0.8392386363636363,4.863636363636363,-2.225261363636364,0.4090909090909091,0.07798295454545455,0.20779724772727273,0.13049204488636362,0.19940454545454545,0.5555431818181819,122.3539431818182,3.9886363636363638,102594.78409090909,67.75,88
ghazal,0.5454941176470588,0.48139999999999994,4.729411764705882,-9.0688,0.7529411764705882,0.05319764705882353,0.6037924705882353,0.026860524470588235,0.1493305882352941,0.4640258823529412,117.94863529411765,3.6823529411764704,271438.8,46.55294117647059,85
anime,0.5830823529411765,0.42272188235294117,4.564705882352941,-12.322411764705882,0.7764705882352941,0.05617529411764705,0.5761083082352941,0.4315671895294118,0.15604352941176472,0.42244588235294117,120.75735294117646,3.976470588235294,157528.0,33.07058823529412,85
desi,0.568620253164557,0.5866962025316457,5.113924050632911,-7.964316455696203,0.7215189873417721,0.0637012658227848,0.4294388481012658,0.012753275443037974,0.14929240506329114,0.44792151898734184,116.54894936708861,3.8354430379746836,265008.2278481013,48.392405063291136,79
sufi,0.5443380281690141,0.568169014084507,5.169014084507042,-8.141408450704224,0.7746478873239436,0.06361549295774648,0.4698704084507042,0.01627293549295775,0.15791267605633802,0.45205633802816897,117.0041971830986,3.8028169014084505,296347.1549295775,43.61971830985915,71
bhajan,0.5501724137931034,0.5277068965517241,5.0,-9.440689655172413,0.7586206896551724,0.06342931034482759,0.5724448275862069,0.04252119362068966,0.17733448275862068,0.5002586206896552,115.79639655172413,3.413793103448276,278245.1896551724,34.293103448275865,58
tamil pop,0.5390303030303031,0.5416060606060606,5.515151515151516,-8.859030303030304,0.5454545454545454,0.06296363636363636,0.4983515151515151,0.18556141606060605,0.16693333333333332,0.45106363636363633,115.25060606060606,3.757575757575758,211677.60606060605,52.0,33
devotional,0.5988484848484849,0.5307878787878788,5.424242424242424,-9.718575757575758,0.7575757575757576,0.06432121212121211,0.536839393939394,0.09527222333333334,0.14685454545454543,0.43836363636363634,110.66972727272727,3.3333333333333335,278103.30303030304,38.81818181818182,33
kollywood,0.5416875,0.546625,5.6875,-8.72546875,0.5625,0.063371875,0.5044875,0.1913577228125,0.16311875,0.455315625,116.506625,3.75,209792.53125,53.1875,32
qawwali,0.50871875,0.56509375,4.46875,-8.1433125,0.65625,0.062359375,0.49490465625,0.0270329965625,0.161371875,0.45423125000000003,117.5919375,3.78125,306941.71875,46.5625,32
j-pop,0.6253793103448275,0.6351724137931034,5.103448275862069,-5.882103448275862,0.7931034482758621,0.05031034482758621,0.32197403448275863,0.02796471103448276,0.16479310344827586,0.6202758620689655,130.78124137931033,3.9310344827586206,219409.10344827586,57.58620689655172,29
drift phonk,0.67868,0.7662399999999999,5.16,-6.04748,0.76,0.09324400000000001,0.14078284,0.4640071292,0.15034,0.4288,122.49799999999999,4.04,127617.32,67.12,25
