artists,genres,count,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Vijay Prakash,"['bollywood', 'desi', 'hindi pop', 'kannada pop', 'kollywood', 'qawwali', 'sandalwood', 'sufi', 'tamil pop', 'telugu pop', 'tollywood']",1,3.0,0.436,0.701,8.0,-6.618,1.0,0.133,0.0983,0.000126,0.108,0.274,130.128,4.0,294933.0
Vishal R.Tandon,"['hindi indie', 'indian indie']",1,6.0,0.713,0.36,8.0,-9.416,1.0,0.033,0.705,0.0,0.226,0.399,119.996,4.0,220401.0
Arpit Bala,"['desi', 'desi hip hop', 'hindi hip hop', 'hindi indie', 'indian indie']",1,73.0,0.378,0.715,10.0,-4.303,1.0,0.224,0.294,0.0,0.331,0.6,76.244,4.0,175384.0
Artmandu,[],1,5.0,0.385,0.203,7.0,-12.635,1.0,0.0355,0.906,0.577,0.242,0.322,119.496,3.0,104307.0
Arunima Bhattacharya,"['bhajan', 'bollywood', 'desi', 'gujarati garba', 'hindi pop']",1,10.0,0.673,0.806,7.0,-7.653,1.0,0.0636,0.544,0.00265,0.529,0.767,129.996,4.0,218307.0
Arunraja Kamaraj,"['kollywood', 'tamil dance', 'tamil hip hop', 'tamil pop', 'telugu pop', 'tollywood']",1,77.0,0.713,0.615,11.0,-7.648,0.0,0.138,0.341,1.55e-06,0.0608,0.807,135.017,3.0,249671.0
Trosk,"['desi', 'ghazal', 'hindi indie', 'indian indie', 'sufi', 'tropical house']",1,51.0,0.384,0.658,10.0,-6.297,1.0,0.0484,0.582,1.65e-05,0.108,0.287,140.142,4.0,243428.0
UNPLG'd,"['desi pop', 'hindi indie', 'hindi pop', 'indian indie']",1,79.0,0.694,0.292,10.0,-9.85,0.0,0.139,0.907,0.0,0.143,0.733,150.495,4.0,70400.0
Umashankar Kathak,"['bhajan', 'bollywood', 'desi', 'hindi pop', 'telugu pop', 'tollywood']",1,25.0,0.255,0.537,0.0,-11.189,1.0,0.0835,0.428,0.000505,0.0608,0.499,75.634,4.0,202838.0
Utsavi Jha,"['hindi indie', 'indian indie']",1,26.0,0.451,0.334,1.0,-10.754,1.0,0.0318,0.925,0.00011,0.104,0.455,159.714,3.0,250124.0
kopi,['j-pop'],1,38.0,0.637,0.539,5.0,-5.511,1.0,0.0258,0.234,0.0,0.0748,0.393,90.979,4.0,279631.0
lirvie,"['brazilian phonk', 'funk', 'phonk']",1,78.0,0.521,0.863,5.0,-1.815,1.0,0.0369,0.491,1.15e-06,0.284,0.157,86.252,4.0,152947.0
maahi,"['hindi indie', 'indian indie']",1,52.0,0.619,0.364,7.0,-9.447,1.0,0.127,0.288,0.0,0.322,0.422,169.708,4.0,153882.0
majiko,"['anime', 'j-pop', 'j-rock']",1,61.0,0.528,0.593,1.0,-3.68,1.0,0.0545,0.289,0.00054,0.0724,0.351,167.238,4.0,273583.0
melovrant,"['brazilian phonk', 'phonk']",1,47.0,0.528,0.885,7.0,-3.761,0.0,0.159,0.082,0.0,0.392,0.645,130.094,4.0,105461.0
merunes,"['brazilian phonk', 'phonk']",1,73.0,0.699,0.762,11.0,-7.995,1.0,0.0463,0.156,0.225,0.416,0.555,103.183,4.0,93038.0
msft,"['bass music', 'bassline', 'breakbeat', 'drum and bass', 'dub', 'grime', 'jungle', 'uk funky', 'uk garage', 'uk grime']",1,36.0,0.532,0.95,8.0,-5.976,0.0,0.519,0.0243,1.39e-06,0.107,0.24,174.659,5.0,171428.0
Abhilasha Sinha,"['hindi indie', 'indian indie']",1,29.0,0.504,0.548,7.0,-6.559,1.0,0.0296,0.803,0.0,0.324,0.279,162.997,3.0,196932.0
